08-05-2019 15:52:05.313,-,API,"D200K,0013A200417E381A,XBee PRO 900HP 200K,8075,COM3 - 9600/8/N/1/N,3"
08-05-2019 15:53:07.846,26,RECV,7E0070900013A200417E3816FFFE410000001BDFF4F5F2F1FBC000458B800CF7CCCCC0B00C0B00C060180CCCF3F043FFEEC23390F1F6C193B95FFF0B75CA0B10C9B41C0B12C0B19C0B00C40B06C17B75CA3B75C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100016B62C58B95C193B30C38E
08-05-2019 15:53:07.996,27,RECV,7E0071900013A200417E3816FFFE410000001CDFF4F5F2F1FBC000458B800CF7CCCCC0B00C0B00C060180CCCF3F043FFEEC23458F1F6C193B95FFF0B77CA0B11C9B37C0B00CA0B06C0B12C39B75C17B75CA3B75C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100016B62C58B95C193B30C31E7
08-05-2019 15:53:09.296,28,RECV,7E006D900013A200417E3816FFFE410000001DDFF4F5F4F4F9C000500B399CCCCC0C00CCCFF1CCF1CCF07FFDFFEEC24855F1F6C193B95FFF0B76CA0B10C9B39C0B00C0B12C0B06C39B00C17B38CA4B56C359B94C4B62C0B50C0B79CA0B09C9B77C23B98C100017B03C58B85C193B27C3B0
08-05-2019 15:53:09.406,29,RECV,7E006D900013A200417E3816FFFE410000001EDFF4F5F4F4F9C000500B399CCCCC0C00CCCFF1CCF1CCF07FFDFFEEC24855F1F6C193B95FFF0B76CA0B10C9B39C0B00C0B12C0B06C39B00C17B38CA4B56C359B94C4B62C0B50C0B79CA0B09C9B77C23B98C100017B03C58B85C193B27C3AF
08-05-2019 15:53:10.746,30,RECV,7E0071900013A200417E3816FFFE410000001FDFF4F5F2F1FBC000501B800CF7CCCCC0B00C0B00C060180CCCF3F04FFDFFEEC26310F1F6C193B95FFF0B74CA0B12C9B39C0B00C0B00C0B00C39B75C18B19CA3B38C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100016B45C58B82C193B32C3E5
08-05-2019 15:53:10.916,31,RECV,7E0071900013A200417E3816FFFE4100000020DFF4F5F2F1FBC000501B800CF7CCCCC0B00C0B00C060180CCCF3F04FFDFFEEC26310F1F6C193B95FFF0B74CA0B12C9B39C0B00C0B00C0B00C39B75C18B19CA3B38C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100016B45C58B82C193B32C3E4
08-05-2019 15:53:11.846,32,RECV,7E0072900013A200417E3816FFFE4100000021DFF4F5F2F1FBC000502B800CF7CCCCC0B00C0B00C060180CCCF3F04FFCFFEEC27343F1F6C193B95FFF0B75CA0B08C9B39C0B00CA0B31C0B00C39B75C17B75CA3B75C359B94C4B62C0B50C0B79CA0B09C9B77C23B98C100019B21C58B87C193B09C3177
08-05-2019 15:53:11.946,33,RECV,7E0072900013A200417E3816FFFE4100000022DFF4F5F2F1FBC000502B800CF7CCCCC0B00C0B00C060180CCCF3F04FFCFFEEC27416F1F6C193B95FFF0B76CA0B12C9B36C0B06CA0B12CA0B06C40B06C17B06CA4B19C359B94C4B62C0B50C0B79CA0B09C9B77C23B98C100019B21C58B87C193B09C3E1
08-05-2019 15:53:13.346,34,RECV,7E006E900013A200417E3816FFFE4100000023DFF4F5F4F4F9C000504B399CCCCC0C00CCCFF1CCF1CCF07FF9FFEEC28868F1F6C193B95FFF0B75CA0B10C9B38CA0B12CA0B19C0B00C39B75C17B06CA3B75C359B94C4B62C0B50C0B79CA0B09C9B77C23B98C100019B33C58B79C193B08C3F9
08-05-2019 15:53:13.446,35,RECV,7E006E900013A200417E3816FFFE4100000024DFF4F5F4F4F9C000504B399CCCCC0C00CCCFF1CCF1CCF07FF9FFEEC28868F1F6C193B95FFF0B75CA0B10C9B38CA0B12CA0B19C0B00C39B75C17B06CA3B75C359B94C4B62C0B50C0B79CA0B09C9B77C23B98C100019B33C58B79C193B08C3F8
